time,note,logreg,hgb,rule,cv_logreg,cv_hgb,c_detect,c_nextdue,c_none_active,c_fams,sparse_logreg,logreg_lean,sparse_logreg_lean,final_sparse_lean_pseudo
2026-09-24T14:13:24,0 baseline regenerated (code unchanged),0.3843,0.3497,0.3367,,,0.369,0.266,0.642,1.112,,,,
2026-09-24T14:16:59,1 C1: streams from direction=out only (drop refunds),0.3663,0.3602,0.3020,,,0.492,0.361,0.710,1.331,,,,
2026-09-24T14:19:36,"2 D2: + mean_gap_days, days_until_next_due per family (original C)",0.3817,0.3689,0.3367,,,0.369,0.266,0.642,1.112,,,,
2026-09-24T14:21:50,3 C1: + streams from direction=out only (on top of D2 next-due),0.3742,0.3528,0.3020,,,0.492,0.361,0.710,1.331,,,,
2026-09-24T14:26:19,3 (CV rerun) D2 + C1 out-only,0.3742,0.3528,0.3020,0.4077,0.4656,0.492,0.361,0.710,1.331,,,,
2026-09-24T14:30:18,2 (CV rerun) D2 only,0.3817,0.3689,0.3367,0.4069,0.4381,0.369,0.266,0.642,1.112,,,,
2026-09-24T14:34:04,0 (CV rerun) baseline,0.3843,0.3497,0.3367,0.4077,0.4352,0.369,0.266,0.642,1.112,,,,
2026-09-24T15:08:00,"4 C1/C2: pool client's charges across MCCs, phrase-based non-sub exclusion, amount tol 0.3/0.03 (on top of exp 3)",0.4242,0.4411,0.2290,0.4275,0.4791,0.673,0.460,0.829,1.710,,,,
2026-09-24T18:17:28,"6 D2: live-stream features (over_days/is_live per family, n_live_streams, max_live_n_occurrences, short_live_stream, min_over_days; live = over<=5)",0.4482,0.4558,0.2290,0.4556,0.4897,0.673,0.460,0.829,1.710,,,,
2026-09-24T18:23:52,7 H: live-aware rule (none if no live stream or short 3-4 charge stream; else soonest-due live family),0.4482,0.4558,0.4719,0.4556,0.4897,0.673,0.460,0.829,1.710,,,,
2026-09-24T18:29:45,8 B1: add token 'pass' to music (member pass),0.4601,0.4545,0.4844,0.4706,0.4916,0.690,0.472,0.836,1.754,,,,
2026-09-24T18:35:16,"9 C5: stream vote uses keyword tags first, MCC fallback only if no keyword",0.4552,0.4488,0.4867,0.4717,0.4855,0.693,0.471,0.836,1.760,,,,
2026-09-24T19:06:00,10 F: LogReg fills absent per-family/stream features with 0 (was median),0.4611,0.4545,0.4844,0.4701,0.4916,0.690,0.472,0.836,1.754,,,,
2026-09-24T21:18:13,13 D: 101 features in src (verify after merge; logreg only),0.4771,0.4714,0.4844,0.4816,0.4867,0.690,0.472,0.836,1.754,,,,
2026-09-24T21:29:16,14 G: benchmark model 2 = sparse per-label L1 LogReg (own C per label); 101 features,0.4771,0.4714,0.4844,0.4816,0.4867,0.690,0.472,0.836,1.754,0.4844,,,
2026-09-24T21:39:26,16 D5 late_bro: lateness in cycles per family + late_min_cycles (8 cols),0.4768,0.4722,0.4844,0.4842,0.4900,0.690,0.472,0.836,1.754,0.4791,,,
2026-09-24T21:44:02,17 D5 + portfolio_bro: families ever / last 90d / dropped (3 cols),0.4782,0.4688,0.4844,0.4816,0.4930,0.690,0.472,0.836,1.754,0.4795,,,
2026-09-24T21:48:51,18 D5 + refund_bro: tagged refund per family last 90d + count (8 cols); all 19 story cols,0.4894,0.4775,0.4844,0.4907,0.4979,0.690,0.472,0.836,1.754,0.4942,,,
2026-09-24T21:53:49,"19 D5 check: refund_bro only (without late_bro, portfolio_bro)",0.4878,0.4881,0.4844,0.4863,0.4875,0.690,0.472,0.836,1.754,0.4971,,,
2026-09-25T09:41:02,"20 D6: full set = 120 + 10 client story features (130); lean = 101 (pruned + cooling_families, dormancy_score)",0.4742,0.4852,0.4844,0.4880,0.4980,0.690,0.472,0.836,1.754,0.4885,0.4844,0.4945,
2026-09-25T14:38:03,"22 D8: final model = sparse per-label lean + 3,152 pseudo-labelled pretrain clients (all 3 sources agree, Salim's merged labels)",0.4739,0.4741,0.4844,0.4883,0.5024,0.690,0.472,0.836,1.754,0.4876,0.4889,0.5036,0.5127
2026-09-25T15:20:40,"24 L2 (timmyo6): due date = next billing day of last charge; days_to_bill_<fam>, first_due ranked by it",,,0.4958,,,0.690,0.472,0.836,1.754,,0.4834,0.4941,0.5091
2026-09-26T17:25:23,30 refactor: final model from standalone sparse_levels.py (no change expected),,,0.4844,,,0.690,0.472,0.836,1.754,,0.4889,0.5036,0.5127
